도로종류,노선명,시설명,시도,시군구,읍면동,리,총길이,총폭,유효폭,높이,공수,교통량,기관구분1,기관구분2,기관구분3,준공년도,
고속국도,고속국도45호선,문경새재터널(양평),경상북도,문경시,문경읍,각서리,2635,12.5,10.7,7.3,,27622,전문관리기관,한국도로공사,상주지사,2004,
고속국도,고속국도45호선,문경새재터널(창원),충청북도,괴산군,연풍면,주진리,2645,12.5,10.7,7.3,,27622,전문관리기관,한국도로공사,상주지사,2004,
고속국도,고속국도65호선,문무대왕1터널(부산),경상북도,경주시,문무대왕면,송전리,7540,10.7,7.2,7.3,,11154,전문관리기관,한국도로공사,경주지사,2015,
고속국도,고속국도65호선,문무대왕1터널(포항),경상북도,경주시,문무대왕면,장항리,7543,10.7,7.2,7.3,,11154,전문관리기관,한국도로공사,경주지사,2015,
고속국도,고속국도65호선,문무대왕2터널(부산),경상북도,경주시,양북면,입천리,234,10.7,10.7,7.4,,11154,전문관리기관,한국도로공사,경주지사,2015,
고속국도,고속국도65호선,문무대왕2터널(포항),경상북도,경주시,양북면,입천리,234,10.7,10.7,7.4,,11154,전문관리기관,한국도로공사,경주지사,2015,
고속국도,고속국도65호선,문무대왕3터널(부산),경상북도,경주시,양북면,용동리,530,10.7,10.7,7.3,,10975,전문관리기관,한국도로공사,경주지사,2015,
고속국도,고속국도65호선,문무대왕3터널(포항),경상북도,경주시,양북면,용동리,466,10.7,10.7,7.3,,10975,전문관리기관,한국도로공사,경주지사,2015,
고속국도,고속국도65호선,문무대왕4터널(부산),경상북도,경주시,양북면,용동리,272,10.7,10.7,7.3,,10975,전문관리기관,한국도로공사,경주지사,2015,
고속국도,고속국도65호선,문무대왕4터널(포항),경상북도,경주시,양북면,용동리,217,10.7,10.7,7.3,,10975,전문관리기관,한국도로공사,경주지사,2015,
고속국도,고속국도65호선,문무대왕5터널(부산),경상북도,포항시 남구,오천읍,진전리,2442,10.7,12.6,7.3,,10975,전문관리기관,한국도로공사,경주지사,2015,
고속국도,고속국도65호선,문무대왕5터널(포항),경상북도,포항시 남구,오천읍,진전리,2443,10.7,12.6,7.3,,10975,전문관리기관,한국도로공사,경주지사,2015,
고속국도,고속국도29호선,문수1터널(세종),경기도,용인시 처인구,원삼면,학일리,1849,11,,7.5,,4320,전문관리기관,한국도로공사,용인지사,2024,
고속국도,고속국도29호선,문수1터널(포천),경기도,용인시 처인구,원삼면,학일리,1813,11,,7.5,,4320,전문관리기관,한국도로공사,용인지사,2024,
고속국도,고속국도29호선,문수2터널(세종),경기도,용인시 처인구,호동,,120,11,,8.4,,8295,전문관리기관,한국도로공사,용인지사,2024,
고속국도,고속국도29호선,문수2터널(포천),경기도,용인시 처인구,호동,,184,11,,8.4,,8295,전문관리기관,한국도로공사,용인지사,2024,
고속국도,고속국도29호선,문수3터널(세종),경기도,용인시 처인구,,,805,11.5,,7.5,,10253,전문관리기관,한국도로공사,용인지사,2024,
고속국도,고속국도29호선,문수3터널(포천),경기도,용인시 처인구,호동,,730,11.5,,7.5,,8295,전문관리기관,한국도로공사,용인지사,2024,
고속국도,고속국도253호선,문수산터널(고창),전북특별자치도,고창군,고수면,은사리,3820,12.4,7.2,7.3,,12080,전문관리기관,한국도로공사,담양지사,2007,
고속국도,고속국도253호선,문수산터널(담양),전북특별자치도,고창군,고수면,은사리,3805,12.4,7.2,7.3,,12080,전문관리기관,한국도로공사,담양지사,2007,
고속국도,고속국도65호선,문수터널(부산),울산광역시,울주군,청량면,율리,1508,14.3,14.3,8.2,,16357,전문관리기관,부산울산고속도로㈜,본사,2008,
고속국도,고속국도65호선,문수터널(울산),울산광역시,울주군,청량면,율리,1599,13.6,13.6,8.2,,16357,전문관리기관,부산울산고속도로㈜,본사,2008,
고속국도,고속국도400호선,문안산터널(양평),경기도,남양주시,화도읍,창현리,3900,13.4,13.4,0,,9362,전문관리기관,한국도로공사,이천지사,2023,
고속국도,고속국도400호선,문안산터널(화도),경기도,남양주시,조안면,삼봉리,3942,13.4,13.4,0,,9362,전문관리기관,한국도로공사,이천지사,2023,
고속국도,고속국도30호선,문의1터널(영덕),충청북도,청원군,문의면,노현리,536,13.5,2,8.7,,24978,전문관리기관,한국도로공사,보은지사,2007,
고속국도,고속국도30호선,문의1터널(청주),충청북도,청원군,문의면,마구리,451,13.4,2,8.6,,24978,전문관리기관,한국도로공사,보은지사,2007,
고속국도,고속국도30호선,문의2터널(영덕),충청북도,청원군,문의면,마구리,219,12.2,7.2,7.4,,24978,전문관리기관,한국도로공사,보은지사,2007,
고속국도,고속국도30호선,문의2터널(청주),충청북도,청원군,문의면,마구리,120,13.3,7.2,7.4,,24978,전문관리기관,한국도로공사,보은지사,2007,
고속국도,고속국도12호선,문평1터널(광주),전라남도,나주시,문평면,송산리,300,11.5,11.5,7.3,,20194,전문관리기관,한국도로공사,함평지사,2007,
고속국도,고속국도12호선,문평1터널(무안),전라남도,나주시,문평면,송산리,342,11.5,11.5,7.3,,20194,전문관리기관,한국도로공사,함평지사,2007,
고속국도,고속국도12호선,문평2터널(광주),전라남도,나주시,문평면,대도리,343,11.5,11.5,7.3,,20194,전문관리기관,한국도로공사,함평지사,2007,
고속국도,고속국도12호선,문평2터널(무안),전라남도,나주시,문평면,대도리,328,11.5,11.5,7.3,,20194,전문관리기관,한국도로공사,함평지사,2007,
고속국도,고속국도12호선,문평3터널(광주),전라남도,나주시,문평면,대도리,260,11.5,11.5,7.3,,20194,전문관리기관,한국도로공사,함평지사,2007,
고속국도,고속국도12호선,문평3터널(무안),전라남도,나주시,문평면,대도리,255,11.5,11.5,7.3,,20194,전문관리기관,한국도로공사,함평지사,2007,
고속국도,고속국도12호선,문평4터널(광주),전라남도,나주시,문평면,계로리,235,11.5,11.5,7.3,,20194,전문관리기관,한국도로공사,함평지사,2007,
고속국도,고속국도12호선,문평4터널(무안),전라남도,나주시,문평면,계로리,202,11.5,11.5,7.3,,20194,전문관리기관,한국도로공사,함평지사,2007,
