도로종류,노선명,시설명,시도,시군구,읍면동,리,총길이,총폭,유효폭,높이,공수,교통량,기관구분1,기관구분2,기관구분3,준공년도
일반국도,일반국도17호선,중부지하차도,충청북도,청주시 흥덕구,내곡동,,70.5,22.2,16,4.5,,16963,국토교통부,대전,보은,2016
일반국도,일반국도1호선,중앙지하차도,경기도,평택시,장당동,,920,16,16,4.5,2,23482,자치단체,경기,평택시,2010
일반국도,일반국도1호선,직산지하차도,충청남도,천안시 서북구,직산읍,삼은리,130,18,18,5,,26128,국토교통부,대전,예산,2022
일반국도,일반국도43호선,진안 RAMP-A 지하차도,경기도,화성시,진안동,,360,7,7,5.1,,30888,자치단체,경기,화성시,2008
일반국도,일반국도43호선,진안1지하차도,경기도,화성시,진안동,,80,31.5,31.5,6.4,,30888,국토교통부,서울,수원,2013
일반국도,일반국도43호선,진안2지하차도,경기도,화성시,진안동,,148.4,31.5,31.5,6.4,,30888,국토교통부,서울,수원,2013
일반국도,일반국도43호선,진안3지하차도,경기도,화성시,진안동,,140,31.5,31.5,6.4,,30888,국토교통부,서울,수원,2013
일반국도,일반국도5호선,창락지하차도,경상북도,영주시,풍기읍,창락리,45,13.5,11.5,5,,1616,국토교통부,부산,영주,2016
일반국도,일반국도1호선,창룡문지하차도,경기도,수원시 장안구,연무동,,215,19,13,5,2,39261,자치단체,경기,수원시장안구,2012
일반국도,일반국도31호선,처용지하차도(상),울산광역시,울주군,온산읍,처용리,140,10,7,4.7,,11607,국토교통부,부산,김해,2014
일반국도,일반국도31호선,처용지하차도(하),울산광역시,울주군,온산읍,처용리,140,10,7,4.7,,11607,국토교통부,부산,김해,2014
일반국도,일반국도1호선,천안로 지하차도,충청남도,천안시 동남구,신부동,,700,13,13,7.3,,12320,자치단체,충남,천안시동남구,2010
일반국도,일반국도5호선,천평지하차도,경상북도,칠곡군,가산면,석우리,99.8,8.5,8.5,4.3,,10833,국토교통부,부산,대구,1992
일반국도,일반국도32호선,탄방지하차도,대전광역시,서구,탄방동,,123,25.8,25.8,4.5,,12351,자치단체,대전,건설관리본부,1993
일반국도,일반국도43호선,태안지하차도,경기도,화성시,진안동,,300,20,20,5.1,,30888,국토교통부,서울,수원,2005
일반국도,일반국도4호선,판암지하차도,대전광역시,동구,판암동,,125,17.4,17.4,5.2,,8227,자치단체,대전,건설관리본부,1999
일반국도,일반국도38호선,평안지하차도,경기도,안성시,공도읍,진사리,75,9,8,4.8,,26784,국토교통부,서울,수원,2014
일반국도,일반국도47호선,평촌지하차도,경기도,안양시 동안구,평촌동,,80,18,18,10,,31126,자치단체,경기,안양시,1993
일반국도,일반국도3호선,하계지하차도,서울특별시,노원구,하계동,,142,21,16,4.9,1,38250,자치단체,서울,북부도로사업소,1990
일반국도,일반국도43호선,하길 제2지하차도,경기도,화성시,향남읍,하길리,495,7.5,7.5,7,,4951,자치단체,경기,화성시,2018
일반국도,일반국도13호선,하남2지하차도,광주광역시,광산구,우산동,,371,16,16,4.5,,6731,자치단체,광주,종합건설본부,1991
일반국도,일반국도36호선,학평지하차도,충청북도,청주시 청원구,내수읍,학평리,155,15.6,15.6,5.7,,15787,국토교통부,대전,보은,2013
일반국도,일반국도5호선,행구지하차도,강원특별자치도,원주시,행구동,,50,20.5,17,5,,9546,국토교통부,원주,홍천,2013
일반국도,일반국도3호선,혁신지하차도1(상),경상북도,김천시,율곡동,,738,16.8,16.8,5,,9089,국토교통부,부산,대구,2013
일반국도,일반국도3호선,혁신지하차도1(하),경상북도,김천시,율곡동,,738,16.8,16.8,5,,9089,국토교통부,부산,대구,2013
일반국도,일반국도3호선,혁신지하차도2(상),경상북도,김천시,율곡동,,150,8.4,8.4,5,,9089,국토교통부,부산,대구,2013
일반국도,일반국도3호선,혁신지하차도2(하),경상북도,김천시,율곡동,,150,8.4,8.4,5,,9089,국토교통부,부산,대구,2013
일반국도,일반국도1호선,호계지하차도,경기도,안양시 동안구,호계동,,250,19.1,19.1,4.5,,39261,자치단체,경기,안양시,1993
일반국도,일반국도1호선,효덕지하차도,광주광역시,남구,진월동,,180,13.3,13.3,5.4,,19851,자치단체,광주,종합건설본부,2004
일반국도,일반국도1호선,효원지하차도,경기도,수원시 권선구,권선동,,840,13,13,5,2,39261,자치단체,경기,수원시권선구,2006
일반국도,일반국도1호선,효천 지하차도,광주광역시,남구,임암동,,115,13,13,5,,19851,자치단체,광주,종합건설본부,2023
"특별,광역시도",,가락지하차도,서울특별시,송파구,가락동,,300,18,18,6.4,,,자치단체,서울,동부도로사업소,1986
"특별,광역시도",,가마산지하차도,서울특별시,구로구,구로동,,145,26,20,4.7,,13410,자치단체,서울,강서도로사업소,1996
"특별,광역시도",,가야감고개공원 복개구조물,부산광역시,부산진구,가야동,,105,46,46,6.5,,12680,자치단체,부산,건설안전시험사업소,2018
"특별,광역시도",,가양지하차도,서울특별시,강서구,가양동,,135,8,8,5,,,자치단체,서울,서울시설공단,1993
"특별,광역시도",,가오지하차도,대전광역시,동구,판암동,,74,25,25,4.8,,7333,자치단체,대전,건설관리본부,2005
"특별,광역시도",,각산지하차도,대구광역시,동구,각산동,,57.6,20,14,4.5,,9063,자치단체,대구,도시관리본부,2014
"특별,광역시도",,감천지하차도,부산광역시,사하구,감천동,,964,10,7,4.7,1,8626,자치단체,부산,천마산터널(주),2019
"특별,광역시도",,감현2교 지하보차도,부산광역시,사상구,덕포동,,20,11,6.6,5,,5965,자치단체,부산,사상구,1988
"특별,광역시도",,갑천지하차도,대전광역시,서구,월평동,,142,19.3,19.3,4.7,,,자치단체,대전,건설관리본부,1993
"특별,광역시도",,개봉지하차도,서울특별시,구로구,개봉동,,355,18.5,18.5,5.1,,4664,자치단체,서울,강서도로사업소,2015
"특별,광역시도",,개포지하차도,서울특별시,강남구,개포동,,160,17,17,4.5,,,자치단체,서울,서울시설공단,1997
"특별,광역시도",,개화지하차도,서울특별시,강서구,방화동,,60,19,19,4.7,,7570,자치단체,서울,강서도로사업소,1988
"특별,광역시도",,경대교지하차도,대구광역시,북구,침산동,,385,18,18,4.7,,,자치단체,대구,대구공공시설관리공단,1992
"특별,광역시도",,경인1지하차도,서울특별시,양천구,목동,,500,18,18,5.2,,13377,자치단체,서울,서울시설공단,1989
"특별,광역시도",,경인2지하차도,서울특별시,양천구,신정동,,100,19,19,4.5,,11775,자치단체,서울,서울시설공단,1993
"특별,광역시도",,경인철도횡단지하차도,서울특별시,구로구,구로동,,30,46.3,3.6,4.2,,,자치단체,서울,강서도로사업소,1988
"특별,광역시도",,계룡로지하차도,대전광역시,서구,월평동,,472,20.8,20.8,6.2,,,자치단체,대전,건설관리본부,2013
"특별,광역시도",,고잔지하차도,인천광역시,남동구,고잔동,,200,32.1,32.1,5,,10252,자치단체,인천,종합건설본부,2010
"특별,광역시도",,고척2지하차도,서울특별시,구로구,고척동,,75,21.2,21.2,7.8,,10864,자치단체,서울,강서도로사업소,1991
"특별,광역시도",,고척지하차도,서울특별시,구로구,구로동,,85,0,0,0,,,자치단체,서울,강서도로사업소,1989
"특별,광역시도",,고촌지하차도,대구광역시,북구,서변동,,250,8,8,4.5,,,자치단체,대구,도시관리본부,2000
"특별,광역시도",,공항입구지하차도,서울특별시,강서구,방화동,,100,15.6,15.6,4.2,,7570,자치단체,서울,강서도로사업소,1979
"특별,광역시도",,광나루지하차도,서울특별시,광진구,구의동,,90,6.5,6.5,4.5,,,자치단체,서울,서울시설공단,2003
"특별,광역시도",,괘법동 지하차도,부산광역시,사상구,감전동,,48,3.5,3.5,2,,11034,자치단체,부산,사상구,1988
"특별,광역시도",,구남시장 굴다리,부산광역시,북구,구포동,,20,3,3,2.5,,15831,자치단체,부산,북구,1993
